TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-04,2026-09-04,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7518.00,7518.00,7375.00,7419.90,7419.90,7431.00,,7410.04,,,2769,20538446.00,865,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1298.15,1327.30,1266.70,1270.55,1270.55,1286.15,,1270.21,,,32192,41704405.00,2021,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,860.75,869.00,855.80,864.05,862.55,860.75,,864.19,,,48214,41649052.00,3046,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500009,INE432A01017,AMBALALSA,T,,,,,AMBALAL SARABHAI ENTERPRISES L,43.00,44.90,43.00,43.72,43.50,43.88,,43.73,,,4101,180319.00,41,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,42.15,44.89,42.15,44.52,44.52,42.70,,44.52,,,193330,8552698.00,726,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.39,3.39,3.39,3.39,3.39,3.33,,3.39,,,11511,39022.00,19,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.82,3.96,3.82,3.93,3.96,3.90,,3.93,,,14560,56713.00,73,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.81,7.81,7.01,7.19,7.28,7.48,,7.19,,,15087,107701.00,64,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500020,INE032A01023,BOMDYEING,B,,,,,BOMBAY DYEING & MFG.CO.LTD.,115.30,115.30,113.20,113.45,113.35,113.10,,113.47,,,31390,3572809.00,308,F1,1,,,,,
2026-09-04,2026-09-04,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,391.55,391.55,378.45,386.30,384.55,382.00,,384.78,,,923,355379.00,58,F1,1,,,,,
