BSE Code,Name
500002,ABB INDIA LIMITED
500003,AEGIS LOGISTICS LTD.
500008,Amara Raja Energy & Mobility L
500009,AMBALAL SARABHAI ENTERPRISES L
500012,ANDHRA PETROCHEMICALS LTD.
500013,ANSAL PROPERTIES & INFRASTRUCT
500014,UTIQUE ENTERPRISES LIMITED
500016,ARUNA HOTELS LTD.
500020,BOMBAY DYEING & MFG.CO.LTD.
500023,ASIAN HOTELS (NORTH) LIMITED
500027,ATUL LTD.
500028,ATV PROJECTS INDIA LTD.
500031,BAJAJ ELECTRICALS LTD.
500032,BAJAJ HINDUSTHAN SUGAR LIMITED
500033,FORCE MOTORS LTD.
500034,BAJAJ FINANCE LIMITED
500038,BALRAMPUR CHINI MILLS LTD
500039,BANCO PRODUCTS (INDIA) LTD.
500040,ADITYA BIRLA REAL ESTATE LIMIT
500042,BASF INDIA LTD.
500043,BATA INDIA LTD.
500048,BEML LTD.
500049,BHARAT ELECTRONICS LTD.
500051,BHAGAWATI GAS LIMITED
500052,BHANSALI ENGINEERING POLYMERS
500058,BIHAR SPONGE IRON LTD.
500059,BIL VYAPAR LIMITED
500060,Birla Cable Limited
500067,BLUE STAR LTD.
500068,DISA INDIA LTD.
500069,QUEST CAPITAL MARKETS LIMITED
500074,BPL LTD.
500078,ORIENTAL AROMATICS LIMITED
500083,CENTURY EXTRUSIONS LTD.
500084,CESC LTD.
500085,CHAMBAL FERTILISERS & CHEMICAL
500086,EXIDE INDUSTRIES LTD.
500087,CIPLA LTD.
500089,DIC INDIA LTD.
500092,CRISIL LTD.
500093,CG Power and Industrial Soluti
500096,DABUR INDIA LTD.
500097,DALMIA BHARAT SUGAR AND INDUST
500101,ARVIND LTD.
500103,BHARAT HEAVY ELECTRICALS LTD.
500104,HINDUSTAN PETROLEUM CORPORATIO
500106,IFCI LTD.
500108,MAHANAGAR TELEPHONE NIGAM LTD.
500109,MANGALORE REFINERY & PETROCHEM
500110,CHENNAI PETROLEUM CORPORATION
500112,STATE BANK OF INDIA
500113,STEEL AUTHORITY OF INDIA LTD.
500114,TITAN COMPANY LIMITED
500116,IDBI BANK LTD.
500117,DCW LTD.
500119,DHAMPUR SUGAR MILLS LTD.
500120,DIAMINES & CHEMICALS LTD.
500123,ELANTAS BECK INDIA LTD.
500124,DR.REDDYS LABORATORIES LTD.
500125,E.I.D.-PARRY (INDIA) LTD.
500126,PROCTER & GAMBLE HEALTH LIMITE
500128,ELECTROSTEEL CASTINGS LTD.
500133,ESAB INDIA LTD.
500135,EPL LIMITED
500136,ESTER INDUSTRIES LTD.
500142,FGP LTD.
500143,P H CAPITAL LIMITED
500144,FINOLEX CABLES LTD.
500147,JOHN COCKERILL INDIA LIMITED
500148,UFLEX LTD.
500150,FOSECO INDIA LTD.
500151,GOLDEN TOBACCO LTD.
500153,GANESH BENZOPLAST LTD.
500159,METROGLOBAL LIMITED
500160,GTL LTD.
500163,GODFREY PHILLIPS INDIA LTD.
500164,GODREJ INDUSTRIES LTD.
500165,KANSAI NEROLAC PAINTS LTD.
500166,GOODRICKE GROUP LTD.
500168,GOODYEAR INDIA LTD.
500170,GTN INDUSTRIES LTD.
500171,GHCL LTD.
500173,GFL LIMITED
500174,GUJARAT LEASE FINANCING LTD.
500178,HARIG CRANKSHAFTS LTD.
500179,HCL INFOSYSTEMS LTD.
500180,HDFC BANK LTD.
500182,HERO MOTOCORP LTD.
500183,HFCL LIMITED
500184,Himadri Speciality Chemical Lt
500185,HINDUSTAN CONSTRUCTION CO.LTD.
