NSE Ticker,Name
20MICRONS,20 MICRONS LTD           
21STCENMGM,21ST CENTURY MGMT SERVICE
360ONE,360 ONE WAM LIMITED      
3BBLACKBIO,3B BLACKBIO DX LTD.      
3IINFOLTD,3I INFOTECH LIMITED      
3MINDIA,3M INDIA LIMITED         
3PLAND,3P LAND HOLDINGS LIMITED 
5PAISA,5PAISA CAPITAL LIMITED   
63MOONS,63 MOONS TECHNOLOGIES LTD
A2ZINFRA,A2Z INFRA ENGINEERING LTD
AAATECH,AAA TECHNOLOGIES LIMITED 
AADHARHFC,AADHAR HOUSING FINANCE L 
AAKAAR,AAKAAR MEDICAL TECHNO LTD
AAKASH,AAKASH EXPLORATION SER L 
AARADHYA,AARADHYA DISPOSAL INDUS L
AAREYDRUGS,AAREY DRUGS & PHARM LTD  
AARNAV,AARNAV FASHIONS LIMITED  
AARON,AARON INDUSTRIES LIMITED 
AARTECH,AARTECH SOLONICS LIMITED 
AARTIDRUGS,AARTI DRUGS LTD.         
AARTIIND,AARTI INDUSTRIES LTD     
AARTIPHARM,AARTI PHARMALABS LIMITED 
AARTISURF,AARTI SURFACTANTS LIMITED
AARVI,AARVI ENCON LIMITED      
AASTHA,AASTHA SPINTEX LIMITED   
AATMAJ,AATMAJ HEALTHCARE LIMITED
AAVAS,AAVAS FINANCIERS LIMITED 
ABAN,ABAN OFFSHORE LTD.       
ABANSENT,ABANS ENTERPRISES LTD.   
ABB,ABB INDIA LIMITED        
ABBOTINDIA,ABBOTT INDIA LIMITED     
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.
ABCOTS,A B COTSPIN INDIA LIMITED
ABDL,ALLIED BLEND N DISTILS L 
ABFRL,ADITYA BIRLA FASHION & RT
ABHAPOWER,ABHA POWER N STEEL LTD   
ABINFRA,A B INFRABUILD LIMITED   
ABLBL,ADITYA BIRLA LIFES BRAN L
ABMINTLLTD,ABM INTERNATIONAL LTD    
ABMKNO,A B M KNOWLEDGEWARE LTD. 
ABNINT,A B N INTERCORP LIMITED  
ABREL,ADITYA BIRLA REAL EST LTD
ABSLAMC,ADIT BIRL SUN LIF AMC LTD
ABSMARINE,ABS MARINE SERVICES LTD  
ACC,ACC LIMITED              
ACCELYA,ACCELYA SOLN INDIA LTD   
ACCENTMIC,ACCENT MICROCELL LIMITED 
ACCORD,ACCORD SYNERGY LIMITED   
ACCPL,ACCRETION PHARMA LIMITED 
ACCURACY,ACCURACY SHIPPING LIMITED
ACE,ACTION CONST EQUIP LTD   
ACEINTEG,ACE INTEGRATED SOLU. LTD.
ACETEC,ACETECH E-COMMERCE LTD   
ACI,ARCHEAN CHEMICAL IND LTD 
ACL,ANDHRA CEMENTS LIMITED   
ACMESOLAR,ACME SOLAR HOLDINGS LTD  
ACSTECH,A C S TECHNOLOGIES LTD.  
ACTIVEINFR,ACTIVE INFRASTRUCTURES L 
ACUTAAS,ACUTAAS CHEMICALS LIMITED
ADANIENSOL,ADANI ENERGY SOLUTION LTD
ADANIENT,ADANI ENTERPRISES LIMITED
ADANIGREEN,ADANI GREEN ENERGY LTD   
ADANIPORTS,ADANI PORT & SEZ LTD     
ADANIPOWER,ADANI POWER LTD          
ADDICTIVE,ADDICTIVE LEARNING TECH L
ADFFOODS,ADF FOODS LIMITED        
ADISOFT,ADISOFT TECHNOLOGIES LTD 
ADL,ARCHIDPLY DECOR LIMITED  
ADOR,ADOR WELDING LTD         
ADROITINFO,ADROIT INFOTECH LIMITED  
ADSL,ALLIED DIGITAL SERV. LTD 
ADVAIT,ADVAIT ENRGY TRANSITION L
ADVANCE,ADVANCE AGROLIFE LIMITED 
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD 
ADVENTHTL,ADVENT HOTELS INTERNATI L
ADVENZYMES,ADVANCED ENZYME TECH LTD 
AEGISLOG,AEGIS LOGISTICS LIMITED  
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD
AEPL,ARTEMIS ELECTRICALS & P L
AEQUS,AEQUS LIMITED            
AEROENTER,AEROFLEX ENTERPRISES LTD 
AEROFLEX,AEROFLEX INDUSTRIES LTD  
AERON,AERON COMPOSITE LIMITED  
AERONEU,AEROFLEX NEU LIMITED     
AEROPLANE,AMIR CHAND JAG KUM (E) L 
AESTHETIK,AESTHETIK ENGINEERS LTD  
AETHER,AETHER INDUSTRIES LIMITED
AFCONS,AFCONS INFRASTRUCTURE LTD
AFFLE,AFFLE 3I LIMITED         
